Credit Policy,Purpose,Interest Rate,Installments,Log Annual Income,Annual Income,Debt to Income Ratio,FICO Score,Days with Credit Line,Revolving Balance,Revolving Utilization,Inquiries Last 6 Months,Delinquencies 2 Years,Public Records,Not Fully Paid,Purpose Credit Card,Purpose Debt Consolidation,Purpose Educational,Purpose Home Improvement,Purpose Major Purchase,Purpose Small Business
1,Debt Consolidation,0.1189,829.1,11.35040654,85000.00038,0.1948,737,5640,28854,0.521,0,0,0,0,0,1,0,0,0,0
1,Credit Card,0.1071,228.22,11.08214255,65000.00007,0.1429,707,2760,33623,0.767,0,0,0,0,1,0,0,0,0,0
1,Debt Consolidation,0.1357,366.86,10.37349118,31999.99994,0.1163,682,4710,3511,0.256,1,0,0,0,0,1,0,0,0,0
1,Debt Consolidation,0.1008,162.34,11.35040654,85000.00038,0.081,712,2700,33667,0.732,1,0,0,0,0,1,0,0,0,0
1,Credit Card,0.1426,102.92,11.29973224,80799.99964,0.1497,667,4066,4740,0.395,0,1,0,0,1,0,0,0,0,0
1,Credit Card,0.0788,125.13,11.90496755,147999.9996,0.1698,727,6120,50807,0.51,0,0,0,0,1,0,0,0,0,0
1,Debt Consolidation,0.1496,194.02,10.71441777,45000.00006,0.04,667,3180,3839,0.768,0,0,1,1,0,1,0,0,0,0
1,All Other,0.1114,131.22,11.00209984,59999.99993,0.1108,722,5116,24220,0.686,0,0,0,1,0,0,0,0,0,0
1,Home Improvement,0.1134,87.19,11.40756495,90000.00006,0.1725,682,3989,69909,0.511,1,0,0,0,0,0,0,1,0,0
1,Debt Consolidation,0.1221,84.12,10.20359214,26999.99987,0.1,707,2730,5630,0.23,1,0,0,0,0,1,0,0,0,0
1,Debt Consolidation,0.1347,360.43,10.4341158,33999.99988,0.2209,677,6713,13846,0.71,2,0,1,0,0,1,0,0,0,0
1,Debt Consolidation,0.1324,253.58,11.83500896,137999.9994,0.0916,662,4298,5122,0.182,2,1,0,0,0,1,0,0,0,0
1,Debt Consolidation,0.0859,316.11,10.93310697,56000.00002,0.1549,767,6520,6068,0.167,0,0,0,0,0,1,0,0,0,0
1,Small Business,0.0714,92.82,11.51292546,99999.9995,0.065,747,4384,3021,0.048,0,1,0,0,0,0,0,0,0,1
1,Debt Consolidation,0.0863,209.54,9.487972109,13200.00001,0.0973,727,1560,6282,0.446,0,0,0,0,0,1,0,0,0,0
1,Major Purchase,0.1103,327.53,10.73891524,46115.99998,0.1304,702,8160,5394,0.534,1,0,0,0,0,0,0,0,1,0
1,All Other,0.1317,77.69,10.52277288,37151.99983,0.0226,672,3896,2211,0.884,0,0,0,0,0,0,0,0,0,0
1,Credit Card,0.0894,476.58,11.60823564,109999.9995,0.0707,797,6511,7586,0.527,1,0,0,0,1,0,0,0,0,0
1,Debt Consolidation,0.1039,584.12,10.49127422,36000.00009,0.038,712,2760,8311,0.598,0,0,0,0,0,1,0,0,0,0
1,Major Purchase,0.1513,173.65,11.00209984,59999.99993,0.0274,667,1127,591,0.844,3,0,0,0,0,0,0,0,1,0
1,All Other,0.08,188.02,11.22524339,74999.99981,0.1608,772,4889,29797,0.232,1,0,0,0,0,0,0,0,0,0
1,All Other,0.0863,474.42,10.81977828,49999.99978,0.0259,797,11951,5656,0.276,0,0,0,0,0,0,0,0,0,0
1,Credit Card,0.1355,339.6,11.51292546,99999.9995,0.0794,662,1940,21162,0.577,0,0,0,0,1,0,0,0,0,0
1,Credit Card,0.0788,484.85,11.73606902,125000.0005,0.0705,782,5640,16931,0.346,1,0,0,0,1,0,0,0,0,0
1,Debt Consolidation,0.1229,320.19,11.26446411,78000.00034,0.088,672,3761,4822,0.581,0,0,1,0,0,1,0,0,0,0
1,All Other,0.0901,159.03,12.4292162,250000.0008,0.1,712,1554,14354,0.366,0,2,0,0,0,0,0,0,0,0
