Credit Policy,Interest Rate,Installments,Installment_as_Pct_Income,Log Annual Income,Annual Income,Monthly Income,Debt to Income Ratio,FICO Score,Days with Credit Line,Revolving Balance,Revolving Utilization,Inquiries Last 6 Months,Delinquencies 2 Years,Public Records,Not Fully Paid,Purpose Credit Card,Purpose Debt Consolidation,Purpose Educational,Purpose Home Improvement,Purpose Major Purchase,Purpose Small Business
1,0.1189,829.1,0.11704941123475926,11.35040654,85000.00038,7083.333365403453,0.1948,737,5640,28854,0.521,0,0,0,0,0,1,0,0,0,0
1,0.1071,228.22,0.042132923029640404,11.08214255,65000.00007,5416.666672745392,0.1429,707,2760,33623,0.767,0,0,0,0,1,0,0,0,0,0
1,0.1357,366.86,0.1375725002451354,10.37349118,31999.99994,2666.666661915031,0.1163,682,4710,3511,0.256,1,0,0,0,0,1,0,0,0,0
1,0.1008,162.34,0.02291858813152915,11.35040654,85000.00038,7083.333365403453,0.081,712,2700,33667,0.732,1,0,0,0,0,1,0,0,0,0
1,0.1426,102.92,0.015285148583775063,11.29973224,80799.99964,6733.333302971481,0.1497,667,4066,4740,0.395,0,1,0,0,1,0,0,0,0,0
1,0.0788,125.13,0.010145675703538255,11.90496755,147999.9996,12333.333299462895,0.1698,727,6120,50807,0.51,0,0,0,0,1,0,0,0,0,0
1,0.1496,194.02,0.05173866660212041,10.71441777,45000.00006,3750.0000046782898,0.04,667,3180,3839,0.768,0,0,1,1,0,1,0,0,0,0
1,0.1114,131.22,0.026244000031604025,11.00209984,59999.99993,4999.9999939788095,0.1108,722,5116,24220,0.686,0,0,0,1,0,0,0,0,0,0
1,0.1134,87.19,0.011625333325339786,11.40756495,90000.00006,7500.00000515698,0.1725,682,3989,69909,0.511,1,0,0,0,0,0,0,1,0,0
1,0.1221,84.12,0.03738666685309403,10.20359214,26999.99987,2249.99998878045,0.1,707,2730,5630,0.23,1,0,0,0,0,1,0,0,0,0
1,0.1347,360.43,0.12721058869303567,10.4341158,33999.99988,2833.3333231381566,0.2209,677,6713,13846,0.71,2,0,1,0,0,1,0,0,0,0
1,0.1324,253.58,0.02205043487388299,11.83500896,137999.9994,11499.999952397566,0.0916,662,4298,5122,0.182,2,1,0,0,0,1,0,0,0,0
1,0.0859,316.11,0.06773785712370667,10.93310697,56000.00002,4666.666667986001,0.1549,767,6520,6068,0.167,0,0,0,0,0,1,0,0,0,0
1,0.0714,92.82,0.011138400055360391,11.51292546,99999.9995,8333.333291914763,0.065,747,4384,3021,0.048,0,1,0,0,0,0,0,0,0,1
1,0.0863,209.54,0.19049090900984814,9.487972109,13200.00001,1100.0000004680908,0.0973,727,1560,6282,0.446,0,0,0,0,0,1,0,0,0,0
1,0.1103,327.53,0.08522768673316858,10.73891524,46115.99998,3842.999998644022,0.1304,702,8160,5394,0.534,1,0,0,0,0,0,0,0,1,0
1,0.1317,77.69,0.02509366936350774,10.52277288,37151.99983,3095.9999860753737,0.0226,672,3896,2211,0.884,0,0,0,0,0,0,0,0,0,0
1,0.0894,476.58,0.05199054570277708,11.60823564,109999.9995,9166.66662289993,0.0707,797,6511,7586,0.527,1,0,0,0,1,0,0,0,0,0
