Credit Policy,Purpose,Interest Rate,Installments,Log Annual Income,Annual Income,Debt to Income Ratio,FICO Score,FICO Score Bucket,Days with Credit Line,Revolving Balance,Revolving Utilization,Inquiries Last 6 Months,Delinquencies 2 Years,Public Records,Not Fully Paid,,,,
1,Debt Consolidation,11.89%,$829.10,11.35040654,"$85,000.00",19.48%,737,701-750,5640,"$28,854.00",52.10%,0,0,0,0,,,,
1,Credit Card,10.71%,$228.22,11.08214255,"$65,000.00",14.29%,707,701-750,2760,"$33,623.00",76.70%,0,0,0,0,,,,
1,Debt Consolidation,13.57%,$366.86,10.37349118,"$32,000.00",11.63%,682,651-700,4710,"$3,511.00",25.60%,1,0,0,0,,,,
1,Debt Consolidation,10.08%,$162.34,11.35040654,"$85,000.00",8.10%,712,701-750,2700,"$33,667.00",73.20%,1,0,0,0,,,,
1,Credit Card,14.26%,$102.92,11.29973224,"$80,800.00",14.97%,667,651-700,4066,"$4,740.00",39.50%,0,1,0,0,,,,
1,Credit Card,7.88%,$125.13,11.90496755,"$148,000.00",16.98%,727,701-750,6120,"$50,807.00",51.00%,0,0,0,0,,,,
1,Debt Consolidation,14.96%,$194.02,10.71441777,"$45,000.00",4.00%,667,651-700,3180,"$3,839.00",76.80%,0,0,1,1,,,,
1,All Other,11.14%,$131.22,11.00209984,"$60,000.00",11.08%,722,701-750,5116,"$24,220.00",68.60%,0,0,0,1,,,,
1,Home Improvement,11.34%,$87.19,11.40756495,"$90,000.00",17.25%,682,651-700,3989,"$69,909.00",51.10%,1,0,0,0,,,,
1,Debt Consolidation,12.21%,$84.12,10.20359214,"$27,000.00",10.00%,707,701-750,2730,"$5,630.00",23.00%,1,0,0,0,,,,
1,Debt Consolidation,13.47%,$360.43,10.4341158,"$34,000.00",22.09%,677,651-700,6713,"$13,846.00",71.00%,2,0,1,0,,,,
1,Debt Consolidation,13.24%,$253.58,11.83500896,"$138,000.00",9.16%,662,651-700,4298,"$5,122.00",18.20%,2,1,0,0,,,,
1,Debt Consolidation,8.59%,$316.11,10.93310697,"$56,000.00",15.49%,767,751-800,6520,"$6,068.00",16.70%,0,0,0,0,,,,
1,Small Business,7.14%,$92.82,11.51292546,"$100,000.00",6.50%,747,701-750,4384,"$3,021.00",4.80%,0,1,0,0,,,,
1,Debt Consolidation,8.63%,$209.54,9.487972109,"$13,200.00",9.73%,727,701-750,1560,"$6,282.00",44.60%,0,0,0,0,,,,
1,Major Purchase,11.03%,$327.53,10.73891524,"$46,116.00",13.04%,702,701-750,8160,"$5,394.00",53.40%,1,0,0,0,,,,
1,All Other,13.17%,$77.69,10.52277288,"$37,152.00",2.26%,672,651-700,3896,"$2,211.00",88.40%,0,0,0,0,,,,
1,Credit Card,8.94%,$476.58,11.60823564,"$110,000.00",7.07%,797,751-800,6511,"$7,586.00",52.70%,1,0,0,0,,,,
1,Debt Consolidation,10.39%,$584.12,10.49127422,"$36,000.00",3.80%,712,701-750,2760,"$8,311.00",59.80%,0,0,0,0,,,,
1,Major Purchase,15.13%,$173.65,11.00209984,"$60,000.00",2.74%,667,651-700,1127,$591.00,84.40%,3,0,0,0,,,,
1,All Other,8.00%,$188.02,11.22524339,"$75,000.00",16.08%,772,751-800,4889,"$29,797.00",23.20%,1,0,0,0,,,,
1,All Other,8.63%,$474.42,10.81977828,"$50,000.00",2.59%,797,751-800,11951,"$5,656.00",27.60%,0,0,0,0,,,,
1,Credit Card,13.55%,$339.60,11.51292546,"$100,000.00",7.94%,662,651-700,1940,"$21,162.00",57.70%,0,0,0,0,,,,
1,Credit Card,7.88%,$484.85,11.73606902,"$125,000.00",7.05%,782,751-800,5640,"$16,931.00",34.60%,1,0,0,0,,,,
1,Debt Consolidation,12.29%,$320.19,11.26446411,"$78,000.00",8.80%,672,651-700,3761,"$4,822.00",58.10%,0,0,1,0,,,,
1,All Other,9.01%,$159.03,12.4292162,"$250,000.00",10.00%,712,701-750,1554,"$14,354.00",36.60%,0,2,0,0,,,,
1,All Other,7.43%,$155.38,11.08214255,"$65,000.00",0.28%,802,801-850,4650,"$1,576.00",5.70%,1,0,0,0,,,,
1,Debt Consolidation,13.75%,$255.43,9.998797732,"$22,000.00",14.29%,662,651-700,1319,"$4,175.00",51.50%,0,1,0,0,,,,
1,All Other,7.43%,$155.38,12.20607265,"$200,000.00",0.28%,772,751-800,4517,"$3,164.00",13.70%,0,0,0,0,,,,
1,All Other,7.43%,$155.38,12.20607265,"$200,000.00",3.72%,812,801-850,6779,"$85,607.00",0.70%,0,0,0,0,,,,
1,Debt Consolidation,8.07%,$156.84,11.51292546,"$100,000.00",2.30%,742,701-750,3149,"$9,698.00",19.40%,0,0,0,0,,,,
1,Credit Card,10.28%,$275.38,9.798127037,"$18,000.00",6.40%,692,651-700,7470,"$8,847.00",26.90%,1,1,0,0,,,,
1,Home Improvement,7.43%,$155.38,11.91839057,"$150,000.00",0.00%,777,751-800,7129,"$6,053.00",19.50%,0,0,0,0,,,,
1,Home Improvement,8.07%,$78.42,11.60823564,"$110,000.00",11.33%,762,751-800,6060,"$7,274.00",13.10%,0,0,0,0,,,,
1,Credit Card,8.70%,$158.30,11.22524339,"$75,000.00",15.55%,757,751-800,4770,"$66,033.00",23.00%,0,0,0,0,,,,
1,All Other,7.43%,$155.38,11.46163217,"$95,000.00",3.83%,772,751-800,2535,"$3,660.00",6.80%,0,0,0,0,,,,
1,Credit Card,7.43%,$155.38,11.35040654,"$85,000.00",0.31%,787,751-800,3540,$216.00,0.60%,0,0,0,0,,,,
1,Credit Card,11.22%,$164.23,11.28978191,"$80,000.00",1.21%,672,651-700,3990,"$27,185.00",16.10%,3,0,1,0,,,,
1,Debt Consolidation,9.96%,$161.25,10.77895629,"$48,000.00",8.03%,707,701-750,4320,"$28,329.00",48.60%,1,0,0,0,,,,
1,Home Improvement,9.33%,$159.77,12.10071213,"$180,000.00",11.93%,717,701-750,4499,"$60,568.00",39.20%,1,0,0,0,,,,
1,Home Improvement,8.07%,$156.84,12.10071213,"$180,000.00",5.55%,742,701-750,4019,"$40,934.00",26.30%,0,0,0,0,,,,
1,Debt Consolidation,7.43%,$155.38,11.69524702,"$120,000.00",2.29%,777,751-800,3540,"$8,379.00",16.90%,0,0,0,0,,,,
1,Small Business,8.70%,$94.98,10.1266311,"$25,000.00",14.54%,752,751-800,2460,"$3,660.00",7.80%,1,0,0,0,,,,
1,Home Improvement,10.28%,$97.20,12.20607265,"$200,000.00",0.00%,677,651-700,3780,$0.00,0.00%,0,1,0,0,,,,
1,Credit Card,11.22%,$164.23,10.30895266,"$30,000.00",18.64%,702,701-750,5190,"$15,840.00",47.10%,0,0,0,0,,,,
1,Credit Card,8.38%,$167.02,11.21182037,"$74,000.00",14.37%,797,751-800,5611,"$6,844.00",14.40%,0,0,0,0,,,,
1,Educational,7.75%,$168.60,8.987196821,"$8,000.00",3.00%,762,751-800,6660,"$1,321.00",16.50%,0,0,0,0,,,,
1,All Other,8.38%,$160.72,10.37349118,"$32,000.00",14.78%,772,751-800,4379,"$4,737.00",23.90%,0,0,0,0,,,,
1,Credit Card,9.01%,$159.03,11.19821472,"$73,000.00",9.96%,722,701-750,3090,"$23,489.00",37.60%,0,0,0,0,,,,
1,Debt Consolidation,7.43%,$178.69,11.73606902,"$125,000.00",0.27%,792,751-800,7489,"$2,817.00",10.20%,0,0,0,0,,,,
1,Credit Card,7.43%,$155.38,10.71441777,"$45,000.00",1.12%,782,751-800,5807,"$1,783.00",0.00%,1,0,0,0,,,,
1,Small Business,10.28%,$323.98,10.217422,"$27,376.00",10.70%,712,701-750,1379,"$3,534.00",54.40%,0,0,0,0,,,,
1,Small Business,10.59%,$813.65,10.77895629,"$48,000.00",4.05%,762,751-800,2730,"$2,422.00",23.30%,0,0,0,0,,,,
1,Educational,9.96%,$112.87,9.510444964,"$13,500.00",16.44%,712,701-750,1650,"$2,864.00",41.10%,1,0,0,0,,,,
1,Debt Consolidation,15.96%,$94.88,10.86283777,"$52,200.00",12.57%,627,600-650,1409,"$3,075.00",92.30%,1,0,0,0,,,,
1,Small Business,10.59%,$398.69,11.00209984,"$60,000.00",17.12%,747,701-750,14009,"$17,214.00",8.10%,2,1,0,0,,,,
1,Credit Card,11.54%,$39.60,9.903487553,"$20,000.00",2.04%,662,651-700,1139,"$1,153.00",75.80%,2,0,0,0,,,,
1,Credit Card,13.43%,$678.08,11.88448902,"$145,000.00",10.15%,682,651-700,4210,"$41,674.00",74.10%,0,0,0,1,,,,
1,Credit Card,12.49%,$401.37,11.22524339,"$75,000.00",15.00%,682,651-700,4479,"$43,039.00",93.40%,3,0,0,0,,,,
1,All Other,9.64%,$205.45,11.00209984,"$60,000.00",7.72%,712,701-750,2294,"$3,362.00",69.30%,0,0,0,0,,,,
1,Debt Consolidation,11.86%,$397.75,11.08214255,"$65,000.00",7.14%,682,651-700,8730,"$11,868.00",71.90%,0,2,0,0,,,,
1,All Other,7.43%,$155.38,10.59663473,"$40,000.00",2.55%,772,751-800,8190,"$2,562.00",14.00%,2,0,0,0,,,,
1,All Other,10.28%,$113.39,9.903487553,"$20,000.00",1.50%,682,651-700,1410,"$1,882.00",32.40%,0,0,0,0,,,,
1,Debt Consolidation,11.86%,$99.44,10.49551521,"$36,153.00",7.47%,667,651-700,2550,"$1,064.00",70.90%,2,0,1,0,,,,
1,Credit Card,8.07%,$109.79,11.49272276,"$98,000.00",8.52%,752,751-800,4980,"$6,432.00",6.00%,0,1,0,0,,,,
1,All Other,10.59%,$32.55,10.43382164,"$33,990.00",14.47%,687,651-700,1110,"$4,485.00",36.90%,1,0,0,1,,,,
1,All Other,9.96%,$112.87,11.26446411,"$78,000.00",11.06%,702,701-750,4980,"$16,310.00",20.50%,0,1,0,0,,,,
1,Debt Consolidation,9.64%,$160.51,11.77528973,"$130,000.00",8.55%,712,701-750,5940,"$20,969.00",40.20%,0,0,0,0,,,,
1,Debt Consolidation,13.75%,$340.57,10.46310334,"$35,000.00",17.38%,707,701-750,2700,"$22,213.00",65.90%,0,0,0,0,,,,
1,Home Improvement,7.75%,$156.11,12.32385568,"$225,000.00",6.48%,752,751-800,5340,"$2,160.00",2.30%,1,0,0,0,,,,
1,Credit Card,7.43%,$155.38,11.15625052,"$70,000.00",4.56%,812,801-850,9809,$813.00,1.00%,0,0,0,0,,,,
1,Home Improvement,8.07%,$235.25,11.91839057,"$150,000.00",2.72%,757,751-800,5202,"$23,678.00",24.40%,4,0,0,0,,,,
1,Debt Consolidation,9.96%,$257.99,10.77895629,"$48,000.00",15.13%,722,701-750,2640,"$11,289.00",47.80%,3,0,0,0,,,,
1,Small Business,15.01%,$225.37,12.26904744,"$213,000.00",6.45%,677,651-700,6240,"$56,411.00",75.30%,0,0,0,1,,,,
1,Home Improvement,9.64%,$80.26,11.22524339,"$75,000.00",20.00%,772,751-800,4921,$269.00,3.80%,3,0,0,1,,,,
1,Home Improvement,12.80%,$84.00,10.37349118,"$32,000.00",20.00%,682,651-700,5492,"$3,408.00",35.10%,1,0,0,1,,,,
1,Debt Consolidation,11.22%,$507.46,10.59663473,"$40,000.00",13.50%,712,701-750,5369,"$6,513.00",34.30%,3,0,1,1,,,,
1,Educational,7.43%,$124.31,10.59663473,"$40,000.00",3.45%,772,751-800,1740,$330.00,11.00%,0,0,0,0,,,,
1,Credit Card,8.70%,$63.32,11.15625052,"$70,000.00",6.07%,712,701-750,2550,"$5,967.00",19.80%,1,0,0,0,,,,
1,All Other,10.91%,$130.79,9.798127037,"$18,000.00",18.00%,707,701-750,2192,"$5,533.00",79.60%,1,0,0,0,,,,
1,Home Improvement,7.75%,$93.67,11.73606902,"$125,000.00",2.14%,762,751-800,8370,"$21,050.00",1.00%,0,0,0,0,,,,
1,All Other,7.75%,$93.67,10.81977828,"$50,000.00",5.35%,762,751-800,8370,"$21,050.00",0.70%,0,0,0,0,,,,
1,All Other,8.70%,$88.65,11.69524702,"$120,000.00",15.00%,742,701-750,3026,"$8,155.00",14.90%,1,0,0,0,,,,
